timestamp,location,energy_consumption,temperature
01-01-2023 00:00,Industrial,139.1013636,33.82054165
01-01-2023 01:00,Residential,247.1098084,26.39260209
01-01-2023 02:00,Industrial,233.9346933,25.02743869
01-01-2023 03:00,Industrial,243.0135318,27.10771216
01-01-2023 04:00,Residential,313.5025821,27.326153
01-01-2023 05:00,Residential,284.5281762,18.4060941
01-01-2023 06:00,Industrial,117.3997093,28.72821763
01-01-2023 07:00,Commercial,79.51058269,24.04702205
01-01-2023 08:00,Industrial,378.2369519,25.34763918
01-01-2023 09:00,Industrial,301.8728462,15.60633209
01-01-2023 10:00,Industrial,211.5503456,30.29113265
01-01-2023 11:00,Industrial,413.7610201,31.70855923
01-01-2023 12:00,Residential,224.6263134,27.38843108
01-01-2023 13:00,Industrial,408.1842903,29.97447271
01-01-2023 14:00,Commercial,187.5902574,25.45412006
01-01-2023 15:00,Residential,82.7803839,27.36706758
01-01-2023 16:00,Commercial,469.6878622,22.89143397
01-01-2023 17:00,Commercial,227.5480082,30.8374853
01-01-2023 18:00,Commercial,406.7116578,24.36541861
01-01-2023 19:00,Commercial,175.61486,28.60425809
01-01-2023 20:00,Residential,340.8643005,27.42858757
01-01-2023 21:00,Residential,442.989893,29.04629037
01-01-2023 22:00,Commercial,68.73981005,30.7043175
01-01-2023 23:00,Commercial,423.7860941,25.25426963
02-01-2023 00:00,Residential,307.0998522,31.26131899
02-01-2023 01:00,Residential,323.3622893,24.94514475
02-01-2023 02:00,Residential,285.4211004,34.13268646
02-01-2023 03:00,Industrial,443.5137965,30.05343497
02-01-2023 04:00,Industrial,69.54501076,18.42283299
02-01-2023 05:00,Industrial,167.4627762,31.59168943
02-01-2023 06:00,Commercial,444.0931425,26.03175322
02-01-2023 07:00,Industrial,388.5555661,34.68921916
02-01-2023 08:00,Commercial,57.94032208,29.37638087
02-01-2023 09:00,Commercial,282.6528274,16.68781493
02-01-2023 10:00,Industrial,288.3077063,22.89920855
02-01-2023 11:00,Commercial,230.3969608,25.34550805
02-01-2023 12:00,Industrial,183.8269994,31.78027206
02-01-2023 13:00,Industrial,356.7761827,29.58691069
02-01-2023 14:00,Residential,143.5057091,22.38720141
02-01-2023 15:00,Industrial,409.5268529,28.06865375
02-01-2023 16:00,Residential,411.3667223,26.53821816
02-01-2023 17:00,Industrial,236.8676469,17.52105218
02-01-2023 18:00,Industrial,177.5966049,19.69717386
02-01-2023 19:00,Residential,177.7451817,21.82244625
02-01-2023 20:00,Residential,267.0310958,18.90966813
02-01-2023 21:00,Industrial,373.8106511,18.00267692
02-01-2023 22:00,Commercial,211.4909109,16.1639554
02-01-2023 23:00,Residential,324.5195055,32.46205131
03-01-2023 00:00,Commercial,222.1180073,20.77886836
03-01-2023 01:00,Commercial,187.0354351,20.80641208
03-01-2023 02:00,Commercial,61.18678216,19.12456275
03-01-2023 03:00,Residential,51.76134758,24.50794744
03-01-2023 04:00,Commercial,152.243455,25.28483936
03-01-2023 05:00,Residential,232.8828291,19.16562717
03-01-2023 06:00,Commercial,433.0675253,27.17140676
03-01-2023 07:00,Industrial,409.3179093,29.45999919
03-01-2023 08:00,Industrial,170.2243682,22.47680172
03-01-2023 09:00,Residential,160.0431993,26.70903394
03-01-2023 10:00,Industrial,152.294932,25.0460381
03-01-2023 11:00,Industrial,202.6568032,18.91096797
03-01-2023 12:00,Commercial,274.1894238,29.60021978
03-01-2023 13:00,Residential,247.4004974,31.02906056
03-01-2023 14:00,Commercial,148.2229395,27.97586231
03-01-2023 15:00,Commercial,108.7031345,21.47792056
03-01-2023 16:00,Commercial,55.66001562,33.53584989
